query,title,label,url,snippet
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ inÂ ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Barrington_Investor_Presentation_5.16.24_vF.pdf,Standex International Corporation. ($ in millions). Q3 FY24. Q3 FY23. Y/Y â–³%. Comments. Net sales. 177.3. 184.3. -3.8%. Organic growth: (5.7Â ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/DAD_Investor+Presentation_3.8.24_vF.pdf,Standex International Corporation. ($ in millions). Q2 FY24. Q2 FY23. Y/Y â–³%. Comments. Net sales. 178.4. 187.8. -5.0%. Organic growth: (7.4Â ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_9.28.23_FINAL.pdf,Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ inÂ ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,Standex Investor Presentation,,https://ir.standex.com/download/Jefferies_+2022+Industrials+_Conference_Investor+Presentation_FINAL_8.5.22.pdf,"â€¢ The project with ENEL, a global energy company, is now focused on pilot plant design, which is expected to begin limited production in 2023."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,Focused on Growth and Continued Margin Expansion,,https://ir.standex.com/download/Investor+Presentation_5.18.23_FINAL.pdf,Standex ESG Goals and Performance Reporting. Our commitment to business sustainability ... Standex International Corporation. ($ in ... 3/31/2023.
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2021 Proxy Statement,,https://ir.standex.com/download/2021+Proxy+Statement+FINAL.pdf,Standex International Corporation (the â€œCompanyâ€ or â€œStandexâ€) will ... expiring at the 2023 annual ... Standex's website at ir.standex.com/annual-Â ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2020 Proxy Statement,,https://ir.standex.com/download/2020+Proxy+Statement+FINAL.pdf,The 2020 Annual Meeting of Shareholders (the â€œAnnual Meetingâ€) of Standex International Corporation (the â€œCompanyâ€ or. â€œStandexâ€) will beÂ ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ inÂ ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Barrington_Investor_Presentation_5.16.24_vF.pdf,Standex International Corporation. ($ in millions). Q3 FY24. Q3 FY23. Y/Y â–³%. Comments. Net sales. 177.3. 184.3. -3.8%. Organic growth: (5.7Â ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/DAD_Investor+Presentation_3.8.24_vF.pdf,Standex International Corporation. ($ in millions). Q2 FY24. Q2 FY23. Y/Y â–³%. Comments. Net sales. 178.4. 187.8. -5.0%. Organic growth: (7.4Â ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_9.28.23_FINAL.pdf,Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ inÂ ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Standex Investor Presentation,,https://ir.standex.com/download/Jefferies_+2022+Industrials+_Conference_Investor+Presentation_FINAL_8.5.22.pdf,"â€¢ The project with ENEL, a global energy company, is now focused on pilot plant design, which is expected to begin limited production in 2023."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Focused on Growth and Continued Margin Expansion,,https://ir.standex.com/download/Investor+Presentation_5.18.23_FINAL.pdf,Standex ESG Goals and Performance Reporting. Our commitment to business sustainability ... Standex International Corporation. ($ in ... 3/31/2023.
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,2021 Proxy Statement,,https://ir.standex.com/download/2021+Proxy+Statement+FINAL.pdf,Standex International Corporation (the â€œCompanyâ€ or â€œStandexâ€) will ... expiring at the 2023 annual ... Standex's website at ir.standex.com/annual-Â ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Statement of Investment Principles,,https://standex.com/wp-content/uploads/2020/09/Standex_SIP_September-2020-Clean-1.pdf,Introduction. This Statement of Investment Principles (the â€œStatementâ€) has been prepared by the Trustee of the Standex UK Retirement Plan (the â€œPlanâ€).
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,2020 Proxy Statement,,https://ir.standex.com/download/2020+Proxy+Statement+FINAL.pdf,The 2020 Annual Meeting of Shareholders (the â€œAnnual Meetingâ€) of Standex International Corporation (the â€œCompanyâ€ or. â€œStandexâ€) will beÂ ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Standex UK Retirement Plan - Statement of Investment ...,,https://standex.com/wp-content/uploads/2020/11/Standex_SIP_September-2020-Clean-2.pdf,"Trustee, in preparing this Statement, has also consulted Standex International ... 0.5% p.a.) basis by 2023. ... Environmental, Social, andÂ ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,P&amp;G 2023 Annual Report,,https://assets.ctfassets.net/oggad6svuzkv/2pIQQWQXPpxiKjjmhfpyWf/eb17b3f3c9c21f7abb05e68c7b1f3fcd/2023_annual_report.pdf,"Your Company delivered another strong year in fiscal 2023 with robust top-line growth across categories and regions, strong earnings per share."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,P&amp;G 2023 Annual Report,,https://assets.ctfassets.net/oggad6svuzkv/2pIQQWQXPpxiKjjmhfpyWf/ab30557a6626961e0d8f55886d36805f/2023_annual_report.pdf,(1) Diluted net earnings per common share are calculated based on net earnings attributable to Procter &amp; Gamble.
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2023 CITIZENSHIP REPORT,1.0,https://assets.ctfassets.net/zyvr84rwvj68/3GfBtsummhC7S8wwq5SBIP/f6f2f189f2d9f42722dcafda7cdebcb7/2023_Northern_Europe_Citizenship_Report_FINAL.pdf,"This year, we awarded grants to seven charities that offer support in areas including homelessness and cost-of-living support, as well as education on topics."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2023 Proxy Statement,,https://assets.ctfassets.net/oggad6svuzkv/1VrZoF2f2ooT68Gtqb00wq/5764489c313f28b748ff0bcd181190f7/2023_Proxy_Statement.pdf,"Shareholders request that, beginning in 2024, The Procter &amp; Gamble Company report annually to shareholders on the nature and extent to whichÂ ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,CORPORATE GOVERNANCE,,https://assets.ctfassets.net/oe48y40ukei6/3dmRnKCtNFxjl9JQYiuQfV/1b6b5b55a99719bb4bbc742b53fe1a54/CORPORATE_GOVERNANCE_REPORT_2023.pdf,"Annual Report, Board committee framework, ... Procter &amp; Gamble Company, USA under its ... August 28, 2023 approved payment of annual commission ofÂ ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,P&amp;G 2023 Form 10K,,https://assets.ctfassets.net/oggad6svuzkv/3dWG1bXokHsV1AoriLeoGl/11d56c8d0af0ae669fc9d92def0ec082/2023_form_10k.pdf,"The Company's Annual Report on Form 10-K, quarterly reports on Form 10-Q and current reports on Form 8-K, and amendments thereto, are filedÂ ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,FY2223 10-K Report,,https://assets.ctfassets.net/oggad6svuzkv/3dWG1bXokHsV1AoriLeoGl/909b509a441a256ae92ba75493358e29/FY2223_10-K_Report_Final.pdf,"The Company's Annual Report on ... Procter &amp; Gamble Company and subsidiaries, management's report ... August 04, 2023. The Procter &amp; Gamble CompanyÂ ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,Annual Report,,https://assets.ctfassets.net/jokvdaaztkj7/4uYA3VZObsm05c33u4NQIU/86749c570b0d52665a156f3cce01b093/2022_annual_report.pdf,"Your Company delivered broad-based and strong top-line growth across our categories and regions, earnings growth in the face of significant cost."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2022 CITIZENSHIP REPORT,,https://assets.ctfassets.net/zyvr84rwvj68/5VcYcncjgq8NvbIGJpRgGf/835908a9771a9b265f2deeab1319d575/9287_P_G_NE_Citizenship_ADA_F-7.pdf,"We are approaching the end of another fiscal year, and that brings with it many opportunities for learning and reflection. Over the last 12 months,."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,CORPORATE GOVERNANCE,,https://assets.ctfassets.net/oe48y40ukei6/1B4PdkB3hhiGVRi5DzloRI/490aa00ef0fc2a46b485878925dec785/Corporate_Governance_Report_2023.pdf,"Annual Report, Board committee framework, ... August 29, 2023 approved a payment of annual ... The Company is a subsidiary of The Procter &amp; Gamble."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,corporate responsibility report 2022,1.0,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2022.pdf,"The PVH Corporate Responsibility (CR) Report provides information and performance data on operations from the PVH Corp.1 2022 fiscal year,."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,your CDP Climate Change Questionnaire 2023 C0. ...,1.0,https://pvh.com/-/media/Files/pvh/responsibility/PVH-CDP-Disclosure---Climate.pdf,PVH Corp CDP Climate Change Questionnaire ... sustainability and social and environmental responsibility as part of our ... PVH Annual Report: https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-.
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,your CDP Water Security Questionnaire 2023 W0. ...,,https://pvh.com/-/media/Files/pvh/responsibility/PVH-CDP-Disclosure---Water-Security.pdf,"PVH Corp CDP Water Security Questionnaire 2023 Thursday, July 27, 2023. 1. Welcome to your CDP Water ... Corporate Responsibility Report, our website â€“ PVH."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,corporate responsibility report 2021,,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2021.pdf,"The PVH Corporate Responsibility (CR) Report provides information and performance data on operations during PVH. Corp.'s 2021 fiscal year (February 1,Â ..."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,GREEN FINANCING FRAMEWORK,,https://www.pvh.com/-/media/Files/pvh/investor-relations/sustainable-finance/PVH-Green-Financing-Framework.pdf,About PVH. Further details on progress towards our Fashion Forward Targets can be found in our annual Corporate Responsibility Report. Accelerate Climate Action.
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,FY 2023 Earnings,,https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-Full-Year-2023-Earnings.pdf,"New York - April 1, 2024 - PVH Corp. [NYSE: PVH] today reported its 2023 fourth quarter and full year results and provided its 2024 outlook."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Green Financing Framework Second-Party Opinion ( ...,,https://pvh.com/-/media/Files/pvh/investor-relations/sustainable-finance/PVH-Green-Financing-Framework-SecondParty-Opinion-sustainalyticscom.pdf,"- The impact reporting will adapt ICMA's Harmonized Framework for Impact Reporting (June. 2023), where feasible, and will include quantitativeÂ ..."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Proxy Statement 2023,,https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-Proxy-Statement-2023.pdf,"Our Annual Report to Stockholders for our fiscal year ended January 29, 2023, the Proxy Statement and all other proxy materials are available at."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,Corporate Responsibility Report 2020,,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2020.pdf,"Our platform focuses on several areas where we believe we can drive the greatest impact: Using Sustainable Materials, Reducing. Single-Use Plastic, InnovatingÂ ..."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Q3 2023 Earnings,,https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-Q3-2023-Earnings.pdf,"New York - November 29, 2023 - PVH Corp. [NYSE: PVH] today reported its 2023 third quarter results and updated its full year outlook. StefanÂ ..."
