query,title,url,snippet
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/DAD_Investor+Presentation_3.8.24_vF.pdf,"Mar 8, 2024 ... Standex International Corporation. ($ in millions). Q2 FY24. Q2 FY23. Y/Y △%. Comments. Net sales. 178.4. 187.8. -5.0%. Organic growth: (7.4 ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,"Sep 22, 2023 ... Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ in ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Investor+Presentation_5.18.23_FINAL.pdf,"May 12, 2023 ... Standex ESG Goals and Performance Reporting. Our commitment to business sustainability ... Standex International Corporation. ($ in ... 3/31/2023."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Barrington_Investor_Presentation_5.16.24_vF.pdf,8 days ago ... Standex International Corporation. ($ in millions). Q3 FY24. Q3 FY23. Y/Y △%. Comments. Net sales. 177.3. 184.3. -3.8%. Organic growth: (5.7 ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2020 Proxy Statement,https://ir.standex.com/download/2020+Proxy+Statement+FINAL.pdf,"Oct 20, 2020 ... ... Annual Meeting”) of Standex International Corporation (the “Company” or ... the 2023 annual ... Standex's website at ir.standex.com/annual-reports."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2021 Proxy Statement,https://ir.standex.com/download/2021+Proxy+Statement+FINAL.pdf,"Oct 26, 2021 ... The 2021 Annual Meeting of Shareholders (the “Annual Meeting”) of. Standex International Corporation (the “Company” or “Standex”) will be ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,Standex Investor Presentation,https://ir.standex.com/download/Jefferies_+2022+Industrials+_Conference_Investor+Presentation_FINAL_8.5.22.pdf,"Aug 9, 2022 ... Favorably aligned with sustainable global trends in high growth markets such as electric ... • The project with ENEL, a global energy company, is ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/DAD_Investor+Presentation_3.8.24_vF.pdf,"Mar 8, 2024 ... Standex International Corporation. ($ in millions). Q2 FY24. Q2 FY23. Y/Y △%. Comments. Net sales. 178.4. 187.8. -5.0%. Organic growth: (7.4 ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,"Sep 22, 2023 ... Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ in ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Investor+Presentation_5.18.23_FINAL.pdf,"May 12, 2023 ... Standex ESG Goals and Performance Reporting. Our commitment to business sustainability ... Standex International Corporation. ($ in ... 3/31/2023."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,https://ir.standex.com/download/Barrington_Investor_Presentation_5.16.24_vF.pdf,8 days ago ... Standex International Corporation. ($ in millions). Q3 FY24. Q3 FY23. Y/Y △%. Comments. Net sales. 177.3. 184.3. -3.8%. Organic growth: (5.7 ...
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,2020 Proxy Statement,https://ir.standex.com/download/2020+Proxy+Statement+FINAL.pdf,"Oct 20, 2020 ... ... Annual Meeting”) of Standex International Corporation (the “Company” or ... the 2023 annual ... Standex's website at ir.standex.com/annual-reports."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,2021 Proxy Statement,https://ir.standex.com/download/2021+Proxy+Statement+FINAL.pdf,"Oct 26, 2021 ... The 2021 Annual Meeting of Shareholders (the “Annual Meeting”) of. Standex International Corporation (the “Company” or “Standex”) will be ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Standex Investor Presentation,https://ir.standex.com/download/Jefferies_+2022+Industrials+_Conference_Investor+Presentation_FINAL_8.5.22.pdf,"Aug 9, 2022 ... Favorably aligned with sustainable global trends in high growth markets such as electric ... • The project with ENEL, a global energy company, is ..."
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Standex UK Retirement Plan - Statement of Investment Principles,https://standex.com/wp-content/uploads/2020/11/Standex_SIP_September-2020-Clean-2.pdf,"Nov 11, 2020 ... Trustee, in preparing this Statement, has also consulted Standex International ... 0.5% p.a.) basis by 2023. ... Environmental, Social, and ..."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH 2022 CR Report,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2022.pdf,"Aug 17, 2023 ... The PVH Corporate Responsibility (CR) Report provides information and performance data on operations from the PVH Corp.1 2022 fiscal year,."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,Welcome to your CDP Climate Change Questionnaire 2023 C0 ...,https://pvh.com/-/media/Files/pvh/responsibility/PVH-CDP-Disclosure---Climate.pdf,PVH Corp CDP Climate Change Questionnaire ... sustainability and social and environmental responsibility as part of our ... PVH Annual Report: https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-.
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH-CR-Report-2021.pdf,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2021.pdf,"The PVH Corporate Responsibility (CR) Report provides information and performance data on operations during PVH. Corp.'s 2021 fiscal year (February 1, ..."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH-CR-Report-2020.pdf,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2020.pdf,Chief Sustainability Officer. INTRODUCTION | OUR BRANDS | PRIORITIES & PROGRESS | OUR STORIES | APPENDICES. 2020 CORPORATE RESPONSIBILITY REPORT 7. ABOUT PVH | ...
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH-CR-Report-2019.pdf,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2019.pdf,That's the POWER OF PVH. 2019 Corporate Responsibility Report 1. INDICES. PERFORMANCE SUMMARY. PRIORITIES & PROGRESS. STRATEGY & HIGHLIGHTS. LEADERSHIP MESSAGES.
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,Welcome to your CDP Water Security Questionnaire 2023 W0 ...,https://pvh.com/-/media/Files/pvh/responsibility/PVH-CDP-Disclosure---Water-Security.pdf,"PVH Corp CDP Water Security Questionnaire 2023 Thursday, July 27, 2023. 1. Welcome to your CDP Water ... Corporate Responsibility Report, our website – PVH."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH CR Report 2018,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2018.pdf,Our businesses are an integral part of our Forward. Fashion strategy and are equally committed to delivering against the PVH corporate responsibility priorities ...
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Green Financing Framework Second-Party Opinion ...,https://pvh.com/-/media/Files/pvh/investor-relations/sustainable-finance/PVH-Green-Financing-Framework-SecondParty-Opinion-sustainalyticscom.pdf,"Apr 3, 2024 ... The Green Finance. Committee will be comprised of representatives from the Treasury,. Corporate Responsibility, Supply Chain, Finance, ..."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Green Financing Framework,https://www.pvh.com/-/media/Files/pvh/investor-relations/sustainable-finance/PVH-Green-Financing-Framework.pdf,About PVH. Further details on progress towards our Fashion Forward Targets can be found in our annual Corporate Responsibility Report. Accelerate Climate Action.
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Proxy Statement 2023,https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-Proxy-Statement-2023.pdf,"May 10, 2023 ... Notice of 2023 Annual ... AUDIT COMMITTEE REPORT / PVH CORP. 2023 ... mailing the proxy materials, and lessens the environmental impact of our ..."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 10-K for PVH Corp DE filed 03/28/2023,https://pvh.gcs-web.com/static-files/b269af9c-f3a3-4bc4-9d89-1ca926029d21,"Mar 28, 2023 ... We encourage you to read our annual Corporate Responsibility Report on our PVH.com corporate website for more detailed information regarding our."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 8-K for PVH Corp DE filed 11/29/2023,https://pvh.gcs-web.com/static-files/38d078e3-59e5-4775-9cf4-f9953ffd7247,"Nov 29, 2023 ... Date of Report (Date of earliest event reported) November 29, 2023. PVH CORP. (Exact name of registrant as specified in its charter). Delaware."
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 10-Q for PVH Corp DE filed 09/07/2023,https://pvh.gcs-web.com/static-files/4b0355ec-9417-4f17-a5ff-3083729528ed,"Sep 7, 2023 ... Please see Note 8, “Debt,” in the Notes to Consolidated Financial Statements included in. Item 8 of the Company's Annual Report on Form 10-K for ..."
