query,label,rank
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,1
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",1.0,2
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,3
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,4
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,5
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,6
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,7
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,8
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,9
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:aciworldwide.com",0.0,10
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,1
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,2
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,3
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,4
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,5
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,6
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,7
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,8
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,9
"ACI Worldwide, Inc. Sustainability Report 2023 filetype:pdf site:investor.aciworldwide.com",0.0,10
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,1
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,2
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,3
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,4
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,5
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,6
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,7
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,8
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,9
AMMB Holdings Bhd. Sustainability Report 2023 filetype:pdf site:ambankgroup.com,0.0,10
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,1
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,2
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,3
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,4
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,5
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,6
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,7
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,8
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",0.0,9
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",1.0,10
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,1
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,2
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,3
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,4
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,5
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,6
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,7
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,8
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,9
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com",0.0,10
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,1
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,2
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,3
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,4
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,5
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,6
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,7
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,8
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,9
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",0.0,10
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,1
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,2
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,3
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,4
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,5
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,6
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,7
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,8
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,9
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",0.0,10
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,1
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,2
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,3
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,4
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,5
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,6
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,7
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,8
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,9
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",0.0,10
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:investors.autodesk.com",0.0,1
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:investors.autodesk.com",0.0,2
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:investors.autodesk.com",0.0,3
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:investors.autodesk.com",0.0,4
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:investors.autodesk.com",0.0,5
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:investors.autodesk.com",0.0,6
