query,title,label,url,snippet,creation_date,modified_date
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/DAD_Investor+Presentation_3.8.24_vF.pdf,"Mar 8, 2024 ... Standex International Corporation. ($ in millions). Q2 FY24. Q2 FY23. Y/Y â–³%. Comments. Net sales. 178.4. 187.8. -5.0%. Organic growth: (7.4Â ...",2024-03-06,2024-03-06
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,"Sep 22, 2023 ... Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ inÂ ...",2023-09-25,2023-09-25
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_5.18.23_FINAL.pdf,"May 12, 2023 ... Standex ESG Goals and Performance Reporting. Our commitment to business sustainability ... Standex International Corporation. ($ in ... 3/31/2023.",2023-05-17,2023-05-17
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2020 Proxy Statement,,https://ir.standex.com/download/2020+Proxy+Statement+FINAL.pdf,"Oct 20, 2020 ... ... Annual Meetingâ€) of Standex International Corporation (the â€œCompanyâ€ or ... the 2023 annual ... Standex's website at ir.standex.com/annual-reports.",2020-09-08,2020-09-08
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,2021 Proxy Statement,,https://ir.standex.com/download/2021+Proxy+Statement+FINAL.pdf,"Oct 26, 2021 ... The 2021 Annual Meeting of Shareholders (the â€œAnnual Meetingâ€) of. Standex International Corporation (the â€œCompanyâ€ or â€œStandexâ€) will beÂ ...",2021-09-07,2021-09-07
Standex International Corp. Sustainability Report 2023 filetype:pdf site:ir.standex.com,Standex Investor Presentation,,https://ir.standex.com/download/Jefferies_+2022+Industrials+_Conference_Investor+Presentation_FINAL_8.5.22.pdf,"Aug 9, 2022 ... Favorably aligned with sustainable global trends in high growth markets such as electric ... â€¢ The project with ENEL, a global energy company, isÂ ...",2022-08-08,2022-08-08
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/DAD_Investor+Presentation_3.8.24_vF.pdf,"Mar 8, 2024 ... Standex International Corporation. ($ in millions). Q2 FY24. Q2 FY23. Y/Y â–³%. Comments. Net sales. 178.4. 187.8. -5.0%. Organic growth: (7.4Â ...",2024-03-06,2024-03-06
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_9.22.23_FINAL.pdf,"Sep 22, 2023 ... Standex ESG Goals and Performance Reporting ... Record FY 2023 Adj. EPS of $6.70; Adj. EPS FY19-FY23 ... Standex International Corporation. ($ inÂ ...",2023-09-25,2023-09-25
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,ENGINEERING TECHNOLOGIES,,https://ir.standex.com/download/Investor+Presentation_5.18.23_FINAL.pdf,"May 12, 2023 ... Standex ESG Goals and Performance Reporting. Our commitment to business sustainability ... Standex International Corporation. ($ in ... 3/31/2023.",2023-05-17,2023-05-17
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,2020 Proxy Statement,,https://ir.standex.com/download/2020+Proxy+Statement+FINAL.pdf,"Oct 20, 2020 ... ... Annual Meetingâ€) of Standex International Corporation (the â€œCompanyâ€ or ... the 2023 annual ... Standex's website at ir.standex.com/annual-reports.",2020-09-08,2020-09-08
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,2021 Proxy Statement,,https://ir.standex.com/download/2021+Proxy+Statement+FINAL.pdf,"Oct 26, 2021 ... The 2021 Annual Meeting of Shareholders (the â€œAnnual Meetingâ€) of. Standex International Corporation (the â€œCompanyâ€ or â€œStandexâ€) will beÂ ...",2021-09-07,2021-09-07
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Standex Investor Presentation,,https://ir.standex.com/download/Jefferies_+2022+Industrials+_Conference_Investor+Presentation_FINAL_8.5.22.pdf,"Aug 9, 2022 ... Favorably aligned with sustainable global trends in high growth markets such as electric ... â€¢ The project with ENEL, a global energy company, isÂ ...",2022-08-08,2022-08-08
Standex International Corp. Sustainability Report 2023 filetype:pdf site:standex.com,Standex UK Retirement Plan - Statement of Investment Principles,,https://standex.com/wp-content/uploads/2020/11/Standex_SIP_September-2020-Clean-2.pdf,"Nov 11, 2020 ... Trustee, in preparing this Statement, has also consulted Standex International ... 0.5% p.a.) basis by 2023. ... Environmental, Social, andÂ ...",2020-11-11,2020-11-11
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH 2022 CR Report,1.0,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2022.pdf,"Aug 17, 2023 ... The PVH Corporate Responsibility (CR) Report provides information and performance data on operations from the PVH Corp.1 2022 fiscal year,.",2023-08-17,2023-08-17
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,Welcome to your CDP Climate Change Questionnaire 2023 C0 ...,1.0,https://pvh.com/-/media/Files/pvh/responsibility/PVH-CDP-Disclosure---Climate.pdf,PVH Corp CDP Climate Change Questionnaire ... sustainability and social and environmental responsibility as part of our ... PVH Annual Report: https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-.,2023-07-27,2023-07-27
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH-CR-Report-2021.pdf,,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2021.pdf,"The PVH Corporate Responsibility (CR) Report provides information and performance data on operations during PVH. Corp.'s 2021 fiscal year (February 1,Â ...",2022-08-05,2023-04-11
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH-CR-Report-2020.pdf,,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2020.pdf,Chief Sustainability Officer. INTRODUCTION | OUR BRANDS | PRIORITIES & PROGRESS | OUR STORIES | APPENDICES. 2020 CORPORATE RESPONSIBILITY REPORT 7. ABOUT PVH |Â ...,2021-07-15,2021-07-16
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH-CR-Report-2019.pdf,,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2019.pdf,That's the POWER OF PVH. 2019 Corporate Responsibility Report 1. INDICES. PERFORMANCE SUMMARY. PRIORITIES & PROGRESS. STRATEGY & HIGHLIGHTS. LEADERSHIP MESSAGES.,2020-07-07,2021-03-01
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,Welcome to your CDP Water Security Questionnaire 2023 W0 ...,,https://pvh.com/-/media/Files/pvh/responsibility/PVH-CDP-Disclosure---Water-Security.pdf,"PVH Corp CDP Water Security Questionnaire 2023 Thursday, July 27, 2023. 1. Welcome to your CDP Water ... Corporate Responsibility Report, our website â€“ PVH.",2023-07-27,2023-07-27
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH CR Report 2018,,https://www.pvh.com/-/media/Files/pvh/responsibility/PVH-CR-Report-2018.pdf,Our businesses are an integral part of our Forward. Fashion strategy and are equally committed to delivering against the PVH corporate responsibility prioritiesÂ ...,2019-05-12,2021-03-01
